Type_,No._,HBA_,HBA_CAS,XHBA_,MwHBA_,_-CH3,_-CH2-,_>CH-,_>C<,_=CH2,_=CH-,_>C=,_>C=O,_-CHO,_-COOH,_-COO-/-COO-,_-OH,_-OH(ph),_-O-/O-,_-C≡N,_NH4+,_-NH2(CO),_-NH2,_>NH/>NH+-,_=NH,_>N<+/>N-,_-SO2-,_-S-,_P=O,_>P<+,_-F,_-Cl/Cl-,_Br-,_Mm,_H2O,_-CH2-,_>CH-,_=CH-,_>C=,_>C<,_>C=O,_-O-,_>NH,_>N-,_-N=,_o-(ph),_m-(ph),_p-(ph),_RC,_SC,HBD_,HBD_CAS,XHBD_,MwHBD_,_-CH3,_-CH2-,_>CH-,_>C<,_=CH2,_=CH-,_>C=,_>C=O,_-CHO,_-COOH,_-COO-/-COO-,_-OH,_-OH(ph),_-O-/O-,_-C≡N,_NH4+,_-NH2(CO),_-NH2,_>NH/>NH-+,_=NH,_>N<+/>N-,_-SO2-,_-S-,_P=O,_>P<+,_-F,_-Cl/Cl-,_Br-,_Mm,_H2O,_-CH2-,_>CH-,_=CH-,_>C=,_>C<,_>C=O,_-O-,_>NH,_>N-,_-N=,_o-(ph),_m-(ph),_p-(ph),_RC,_SC,_G1,_G2,_G3,_G4,_G5,Set_,Ref._,T/K_,Viscosity    Î·mlit_
â…¡,11,Chromic chloride hexahydrate,10060-12-5,0.667,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.333,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[2],293.15,4670.8
â…¡,12,Chromic chloride hexahydrate,10060-12-5,0.667,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.333,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[2],315.15,992
â…¡,13,Chromic chloride hexahydrate,10060-12-5,0.667,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.333,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[2],326.15,605.8
â…¡,14,Chromic chloride hexahydrate,10060-12-5,0.71,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.29,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[2],293.15,4122.1
â…¡,15,Chromic chloride hexahydrate,10060-12-5,0.71,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.29,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[2],315.15,788.8
â…¡,16,Chromic chloride hexahydrate,10060-12-5,0.71,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.29,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[2],326.15,402.6
â…¡,17,Chromic chloride hexahydrate,10060-12-5,0.71,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.29,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[2],347.65,118
â…¢,18,Acetylcholine chloride,60-31-1,0.5,181.66,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,4-Triazole",288-88-0,0.5,69.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,training,[3],303.15,304.69
â…¢,19,Acetylcholine chloride,60-31-1,0.5,181.66,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,4-Triazole",288-88-0,0.5,69.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,training,[3],323.15,83.06
â…¢,20,Acetylcholine chloride,60-31-1,0.5,181.66,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,4-Triazole",288-88-0,0.5,69.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,training,[3],333.15,46.48
â…¢,21,Acetylcholine chloride,60-31-1,0.5,181.66,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,4-Triazole",288-88-0,0.5,69.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,training,[3],373.15,8.37
â…¢,22,Acetylcholine chloride,60-31-1,0.5,181.66,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D-fructose,57-48-7,0.5,180.16,0,2,3,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,training,[4],298.15,1380.1
â…¢,23,Acetylcholine chloride,60-31-1,0.5,181.66,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D-fructose,57-48-7,0.5,180.16,0,2,3,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,training,[4],303.15,845.74
