fold,train_aard,train_r2,train_rmse,train_mae,val_aard,val_r2,val_rmse,val_mae,test_aard,test_r2,test_rmse,test_mae,train_max_ard,val_max_ard,test_max_ard
1,2.2464604856890107,0.9923451712914094,0.0343868195768817,0.02250705857824544,3.45876298353423,0.9736364359695318,0.05709117574069256,0.03467211972606814,2.782979591703513,0.987478714032819,0.044680138062244974,0.027695723971407602,21.24157070776946,30.381273326634194,37.66555137830077
2,2.3049053762200367,0.9916740126114161,0.03496057020771194,0.02303223403205804,3.459046667936054,0.9807209195393446,0.05466740145248984,0.033951789936484435,2.7805412468291957,0.9891981957880284,0.0414990533413652,0.027650963878928708,20.12438067243403,54.605390508850526,28.28568667226708
3,2.3796293417915666,0.9913888653019173,0.03599249987051806,0.023913235825565975,3.153996837549072,0.9828055761213098,0.04916623028254437,0.031923928985999515,2.7714689546333906,0.988904646167581,0.0420591622045859,0.02776998157038269,20.20005762226125,22.53248160533789,26.208195874948508
4,2.3193418631487965,0.9913821434529604,0.03550272806911852,0.023364946386274062,3.5122542165462276,0.9698009014760622,0.06895586134870259,0.03603875814934503,2.7107521699280377,0.9895341884228038,0.04084853589807855,0.02723874824170634,23.869530338417498,56.79758237727795,29.997684233383136
5,2.2113490199960166,0.9919161259392063,0.03418293634219195,0.022150370741598417,3.7673547711426494,0.9730692936171623,0.06607708340283817,0.037890768779108956,2.7376496364410388,0.9891366183565139,0.04161717127489113,0.027220341918483913,21.2669045451422,49.95859331335556,30.904443377307494
