Dataset,AARD_%,MedianARD_%,Q75ARD_%,Q90ARD_%,MaxARD_%,R²_orig,RMSE_orig,MAE_orig,Mean_Uncertainty,Median_Uncertainty
Training,5.702633582326177,3.9733124802760464,7.258825851259118,12.042997605788452,73.99345031593269,0.9551559034481787,0.3513934708909214,0.21538755717677688,235.08192,0.13527703
Validation,6.482076913283208,4.359170045921255,8.863551028025057,14.072573652801035,39.889223337893775,0.943617339860033,0.3853717714007348,0.2562355386761668,440.28104,0.13039856
Test,6.156770995308663,4.4927864112709,8.165169431147513,12.730482750389605,62.10740298416686,0.959109191372511,0.34806021029917567,0.22982272682934127,297.12952,0.14013629
